"Notes"	"State"	"State Code"	"Year"	"Year Code"	"Month"	"Month Code"	"Multiple Cause of death"	"Multiple Cause of death Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"2018"	"2018"	"Jan., 2018"	"2018/01"	"Opium"	"T40.0"	0	Not Applicable	Not Applicable
	"Alabama"	"01"	"2018"	"2018"	"Jan., 2018"	"2018/01"	"Heroin"	"T40.1"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"2018"	"2018"	"Jan., 2018"	"2018/01"	"Other opioids"	"T40.2"	12	Not Applicable	Not Applicable
	"Alabama"	"01"	"2018"	"2018"	"Jan., 2018"	"2018/01"	"Methadone"	"T40.3"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"2018"	"2018"	"Jan., 2018"	"2018/01"	"Other synthetic narcotics"	"T40.4"	12	Not Applicable	Not Applicable
	"Alabama"	"01"	"2018"	"2018"	"Feb., 2018"	"2018/02"	"Opium"	"T40.0"	0	Not Applicable	Not Applicable
	"Alabama"	"01"	"2018"	"2018"	"Feb., 2018"	"2018/02"	"Heroin"	"T40.1"	15	Not Applicable	Not Applicable
	"Alabama"	"01"	"2018"	"2018"	"Feb., 2018"	"2018/02"	"Other opioids"	"T40.2"	14	Not Applicable	Not Applicable
	"Alabama"	"01"	"2018"	"2018"	"Feb., 2018"	"2018/02"	"Methadone"	"T40.3"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"2018"	"2018"	"Feb., 2018"	"2018/02"	"Other synthetic narcotics"	"T40.4"	10	Not Applicable	Not Applicable
	"Alabama"	"01"	"2018"	"2018"	"Mar., 2018"	"2018/03"	"Opium"	"T40.0"	0	Not Applicable	Not Applicable
	"Alabama"	"01"	"2018"	"2018"	"Mar., 2018"	"2018/03"	"Heroin"	"T40.1"	17	Not Applicable	Not Applicable
	"Alabama"	"01"	"2018"	"2018"	"Mar., 2018"	"2018/03"	"Other opioids"	"T40.2"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"2018"	"2018"	"Mar., 2018"	"2018/03"	"Methadone"	"T40.3"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"2018"	"2018"	"Mar., 2018"	"2018/03"	"Other synthetic narcotics"	"T40.4"	14	Not Applicable	Not Applicable
	"Alabama"	"01"	"2018"	"2018"	"Apr., 2018"	"2018/04"	"Opium"	"T40.0"	0	Not Applicable	Not Applicable
	"Alabama"	"01"	"2018"	"2018"	"Apr., 2018"	"2018/04"	"Heroin"	"T40.1"	14	Not Applicable	Not Applicable
	"Alabama"	"01"	"2018"	"2018"	"Apr., 2018"	"2018/04"	"Other opioids"	"T40.2"	13	Not Applicable	Not Applicable
	"Alabama"	"01"	"2018"	"2018"	"Apr., 2018"	"2018/04"	"Methadone"	"T40.3"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"2018"	"2018"	"Apr., 2018"	"2018/04"	"Other synthetic narcotics"	"T40.4"	13	Not Applicable	Not Applicable
	"Alabama"	"01"	"2018"	"2018"	"May, 2018"	"2018/05"	"Opium"	"T40.0"	0	Not Applicable	Not Applicable
	"Alabama"	"01"	"2018"	"2018"	"May, 2018"	"2018/05"	"Heroin"	"T40.1"	10	Not Applicable	Not Applicable
	"Alabama"	"01"	"2018"	"2018"	"May, 2018"	"2018/05"	"Other opioids"	"T40.2"	13	Not Applicable	Not Applicable
	"Alabama"	"01"	"2018"	"2018"	"May, 2018"	"2018/05"	"Methadone"	"T40.3"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"2018"	"2018"	"May, 2018"	"2018/05"	"Other synthetic narcotics"	"T40.4"	11	Not Applicable	Not Applicable
	"Alabama"	"01"	"2018"	"2018"	"Jun., 2018"	"2018/06"	"Opium"	"T40.0"	0	Not Applicable	Not Applicable
