"Notes"	"State"	"State Code"	"Year"	"Year Code"	"Month"	"Month Code"	"Multiple Cause of death"	"Multiple Cause of death Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"1999"	"1999"	"Jan., 1999"	"1999/01"	"Opium"	"T40.0"	0	Not Applicable	Not Applicable
	"Alabama"	"01"	"1999"	"1999"	"Jan., 1999"	"1999/01"	"Heroin"	"T40.1"	0	Not Applicable	Not Applicable
	"Alabama"	"01"	"1999"	"1999"	"Jan., 1999"	"1999/01"	"Other opioids"	"T40.2"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"1999"	"1999"	"Jan., 1999"	"1999/01"	"Methadone"	"T40.3"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"1999"	"1999"	"Jan., 1999"	"1999/01"	"Other synthetic narcotics"	"T40.4"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"1999"	"1999"	"Feb., 1999"	"1999/02"	"Opium"	"T40.0"	0	Not Applicable	Not Applicable
	"Alabama"	"01"	"1999"	"1999"	"Feb., 1999"	"1999/02"	"Heroin"	"T40.1"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"1999"	"1999"	"Feb., 1999"	"1999/02"	"Other opioids"	"T40.2"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"1999"	"1999"	"Feb., 1999"	"1999/02"	"Methadone"	"T40.3"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"1999"	"1999"	"Feb., 1999"	"1999/02"	"Other synthetic narcotics"	"T40.4"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"1999"	"1999"	"Mar., 1999"	"1999/03"	"Opium"	"T40.0"	0	Not Applicable	Not Applicable
	"Alabama"	"01"	"1999"	"1999"	"Mar., 1999"	"1999/03"	"Heroin"	"T40.1"	0	Not Applicable	Not Applicable
	"Alabama"	"01"	"1999"	"1999"	"Mar., 1999"	"1999/03"	"Other opioids"	"T40.2"	0	Not Applicable	Not Applicable
	"Alabama"	"01"	"1999"	"1999"	"Mar., 1999"	"1999/03"	"Methadone"	"T40.3"	0	Not Applicable	Not Applicable
	"Alabama"	"01"	"1999"	"1999"	"Mar., 1999"	"1999/03"	"Other synthetic narcotics"	"T40.4"	0	Not Applicable	Not Applicable
	"Alabama"	"01"	"1999"	"1999"	"Apr., 1999"	"1999/04"	"Opium"	"T40.0"	0	Not Applicable	Not Applicable
	"Alabama"	"01"	"1999"	"1999"	"Apr., 1999"	"1999/04"	"Heroin"	"T40.1"	0	Not Applicable	Not Applicable
