"Notes"	"State"	"State Code"	"Year"	"Year Code"	"Month"	"Month Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"2017"	"2017"	"Jan., 2017"	"2017/01"	39	Not Applicable	Not Applicable
	"Alabama"	"01"	"2017"	"2017"	"Feb., 2017"	"2017/02"	26	Not Applicable	Not Applicable
	"Alabama"	"01"	"2017"	"2017"	"Mar., 2017"	"2017/03"	38	Not Applicable	Not Applicable
	"Alabama"	"01"	"2017"	"2017"	"Apr., 2017"	"2017/04"	23	Not Applicable	Not Applicable
	"Alabama"	"01"	"2017"	"2017"	"May, 2017"	"2017/05"	40	Not Applicable	Not Applicable
	"Alabama"	"01"	"2017"	"2017"	"Jun., 2017"	"2017/06"	35	Not Applicable	Not Applicable
	"Alabama"	"01"	"2017"	"2017"	"Jul., 2017"	"2017/07"	36	Not Applicable	Not Applicable
	"Alabama"	"01"	"2017"	"2017"	"Aug., 2017"	"2017/08"	29	Not Applicable	Not Applicable
	"Alabama"	"01"	"2017"	"2017"	"Sep., 2017"	"2017/09"	36	Not Applicable	Not Applicable
	"Alabama"	"01"	"2017"	"2017"	"Oct., 2017"	"2017/10"	28	Not Applicable	Not Applicable
	"Alabama"	"01"	"2017"	"2017"	"Nov., 2017"	"2017/11"	27	Not Applicable	Not Applicable
	"Alabama"	"01"	"2017"	"2017"	"Dec., 2017"	"2017/12"	48	Not Applicable	Not Applicable
	"Alaska"	"02"	"2017"	"2017"	"Jan., 2017"	"2017/01"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"2017"	"2017"	"Feb., 2017"	"2017/02"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"2017"	"2017"	"Mar., 2017"	"2017/03"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"2017"	"2017"	"Apr., 2017"	"2017/04"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"2017"	"2017"	"May, 2017"	"2017/05"	16	Not Applicable	Not Applicable
	"Alaska"	"02"	"2017"	"2017"	"Jun., 2017"	"2017/06"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"2017"	"2017"	"Jul., 2017"	"2017/07"	12	Not Applicable	Not Applicable
	"Alaska"	"02"	"2017"	"2017"	"Aug., 2017"	"2017/08"	10	Not Applicable	Not Applicable
	"Alaska"	"02"	"2017"	"2017"	"Sep., 2017"	"2017/09"	12	Not Applicable	Not Applicable
