"Notes"	"State"	"State Code"	"Year"	"Year Code"	"Month"	"Month Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"2003"	"2003"	"Jan., 2003"	"2003/01"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"2003"	"2003"	"Feb., 2003"	"2003/02"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"2003"	"2003"	"Mar., 2003"	"2003/03"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"2003"	"2003"	"Apr., 2003"	"2003/04"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"2003"	"2003"	"May, 2003"	"2003/05"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"2003"	"2003"	"Jun., 2003"	"2003/06"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"2003"	"2003"	"Jul., 2003"	"2003/07"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"2003"	"2003"	"Aug., 2003"	"2003/08"	0	Not Applicable	Not Applicable
	"Alabama"	"01"	"2003"	"2003"	"Sep., 2003"	"2003/09"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"2003"	"2003"	"Oct., 2003"	"2003/10"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"2003"	"2003"	"Nov., 2003"	"2003/11"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"2003"	"2003"	"Dec., 2003"	"2003/12"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"2003"	"2003"	"Jan., 2003"	"2003/01"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"2003"	"2003"	"Feb., 2003"	"2003/02"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"2003"	"2003"	"Mar., 2003"	"2003/03"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"2003"	"2003"	"Apr., 2003"	"2003/04"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"2003"	"2003"	"May, 2003"	"2003/05"	0	Not Applicable	Not Applicable
	"Alaska"	"02"	"2003"	"2003"	"Jun., 2003"	"2003/06"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"2003"	"2003"	"Jul., 2003"	"2003/07"	0	Not Applicable	Not Applicable
	"Alaska"	"02"	"2003"	"2003"	"Aug., 2003"	"2003/08"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"2003"	"2003"	"Sep., 2003"	"2003/09"	0	Not Applicable	Not Applicable
	"Alaska"	"02"	"2003"	"2003"	"Oct., 2003"	"2003/10"	0	Not Applicable	Not Applicable
	"Alaska"	"02"	"2003"	"2003"	"Nov., 2003"	"2003/11"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"2003"	"2003"	"Dec., 2003"	"2003/12"	0	Not Applicable	Not Applicable
	"Arizona"	"04"	"2003"	"2003"	"Jan., 2003"	"2003/01"	23	Not Applicable	Not Applicable
	"Arizona"	"04"	"2003"	"2003"	"Feb., 2003"	"2003/02"	20	Not Applicable	Not Applicable
	"Arizona"	"04"	"2003"	"2003"	"Mar., 2003"	"2003/03"	21	Not Applicable	Not Applicable
	"Arizona"	"04"	"2003"	"2003"	"Apr., 2003"	"2003/04"	18	Not Applicable	Not Applicable
	"Arizona"	"04"	"2003"	"2003"	"May, 2003"	"2003/05"	19	Not Applicable	Not Applicable
	"Arizona"	"04"	"2003"	"2003"	"Jun., 2003"	"2003/06"	23	Not Applicable	Not Applicable
	"Arizona"	"04"	"2003"	"2003"	"Jul., 2003"	"2003/07"	31	Not Applicable	Not Applicable
	"Arizona"	"04"	"2003"	"2003"	"Aug., 2003"	"2003/08"	30	Not Applicable	Not Applicable
	"Arizona"	"04"	"2003"	"2003"	"Sep., 2003"	"2003/09"	23	Not Applicable	Not Applicable
	"Arizona"	"04"	"2003"	"2003"	"Oct., 2003"	"2003/10"	24	Not Applicable	Not Applicable
	"Arizona"	"04"	"2003"	"2003"	"Nov., 2003"	"2003/11"	23	Not Applicable	Not Applicable
	"Arizona"	"04"	"2003"	"2003"	"Dec., 2003"	"2003/12"	22	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2003"	"2003"	"Jan., 2003"	"2003/01"	Suppressed	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2003"	"2003"	"Feb., 2003"	"2003/02"	Suppressed	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2003"	"2003"	"Mar., 2003"	"2003/03"	Suppressed	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2003"	"2003"	"Apr., 2003"	"2003/04"	Suppressed	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2003"	"2003"	"May, 2003"	"2003/05"	Suppressed	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2003"	"2003"	"Jun., 2003"	"2003/06"	Suppressed	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2003"	"2003"	"Jul., 2003"	"2003/07"	Suppressed	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2003"	"2003"	"Aug., 2003"	"2003/08"	11	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2003"	"2003"	"Sep., 2003"	"2003/09"	10	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2003"	"2003"	"Oct., 2003"	"2003/10"	Suppressed	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2003"	"2003"	"Nov., 2003"	"2003/11"	Suppressed	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2003"	"2003"	"Dec., 2003"	"2003/12"	Suppressed	Not Applicable	Not Applicable
	"California"	"06"	"2003"	"2003"	"Jan., 2003"	"2003/01"	127	Not Applicable	Not Applicable
	"California"	"06"	"2003"	"2003"	"Feb., 2003"	"2003/02"	111	Not Applicable	Not Applicable
	"California"	"06"	"2003"	"2003"	"Mar., 2003"	"2003/03"	103	Not Applicable	Not Applicable
	"California"	"06"	"2003"	"2003"	"Apr., 2003"	"2003/04"	100	Not Applicable	Not Applicable
	"California"	"06"	"2003"	"2003"	"May, 2003"	"2003/05"	103	Not Applicable	Not Applicable
	"California"	"06"	"2003"	"2003"	"Jun., 2003"	"2003/06"	120	Not Applicable	Not Applicable
