"Notes"	"State"	"State Code"	"Year"	"Year Code"	"Month"	"Month Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"2012"	"2012"	"Jan., 2012"	"2012/01"	18	Not Applicable	Not Applicable
	"Alabama"	"01"	"2012"	"2012"	"Feb., 2012"	"2012/02"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"2012"	"2012"	"Mar., 2012"	"2012/03"	14	Not Applicable	Not Applicable
	"Alabama"	"01"	"2012"	"2012"	"Apr., 2012"	"2012/04"	12	Not Applicable	Not Applicable
	"Alabama"	"01"	"2012"	"2012"	"May, 2012"	"2012/05"	12	Not Applicable	Not Applicable
	"Alabama"	"01"	"2012"	"2012"	"Jun., 2012"	"2012/06"	16	Not Applicable	Not Applicable
	"Alabama"	"01"	"2012"	"2012"	"Jul., 2012"	"2012/07"	14	Not Applicable	Not Applicable
	"Alabama"	"01"	"2012"	"2012"	"Aug., 2012"	"2012/08"	16	Not Applicable	Not Applicable
	"Alabama"	"01"	"2012"	"2012"	"Sep., 2012"	"2012/09"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"2012"	"2012"	"Oct., 2012"	"2012/10"	11	Not Applicable	Not Applicable
	"Alabama"	"01"	"2012"	"2012"	"Nov., 2012"	"2012/11"	14	Not Applicable	Not Applicable
	"Alabama"	"01"	"2012"	"2012"	"Dec., 2012"	"2012/12"	11	Not Applicable	Not Applicable
	"Alaska"	"02"	"2012"	"2012"	"Jan., 2012"	"2012/01"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"2012"	"2012"	"Feb., 2012"	"2012/02"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"2012"	"2012"	"Mar., 2012"	"2012/03"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"2012"	"2012"	"Apr., 2012"	"2012/04"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"2012"	"2012"	"May, 2012"	"2012/05"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"2012"	"2012"	"Jun., 2012"	"2012/06"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"2012"	"2012"	"Jul., 2012"	"2012/07"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"2012"	"2012"	"Aug., 2012"	"2012/08"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"2012"	"2012"	"Sep., 2012"	"2012/09"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"2012"	"2012"	"Oct., 2012"	"2012/10"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"2012"	"2012"	"Nov., 2012"	"2012/11"	14	Not Applicable	Not Applicable
	"Alaska"	"02"	"2012"	"2012"	"Dec., 2012"	"2012/12"	Suppressed	Not Applicable	Not Applicable
	"Arizona"	"04"	"2012"	"2012"	"Jan., 2012"	"2012/01"	37	Not Applicable	Not Applicable
	"Arizona"	"04"	"2012"	"2012"	"Feb., 2012"	"2012/02"	38	Not Applicable	Not Applicable
	"Arizona"	"04"	"2012"	"2012"	"Mar., 2012"	"2012/03"	38	Not Applicable	Not Applicable
	"Arizona"	"04"	"2012"	"2012"	"Apr., 2012"	"2012/04"	34	Not Applicable	Not Applicable
	"Arizona"	"04"	"2012"	"2012"	"May, 2012"	"2012/05"	41	Not Applicable	Not Applicable
	"Arizona"	"04"	"2012"	"2012"	"Jun., 2012"	"2012/06"	52	Not Applicable	Not Applicable
	"Arizona"	"04"	"2012"	"2012"	"Jul., 2012"	"2012/07"	50	Not Applicable	Not Applicable
	"Arizona"	"04"	"2012"	"2012"	"Aug., 2012"	"2012/08"	44	Not Applicable	Not Applicable
	"Arizona"	"04"	"2012"	"2012"	"Sep., 2012"	"2012/09"	40	Not Applicable	Not Applicable
	"Arizona"	"04"	"2012"	"2012"	"Oct., 2012"	"2012/10"	35	Not Applicable	Not Applicable
	"Arizona"	"04"	"2012"	"2012"	"Nov., 2012"	"2012/11"	34	Not Applicable	Not Applicable
	"Arizona"	"04"	"2012"	"2012"	"Dec., 2012"	"2012/12"	37	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2012"	"2012"	"Jan., 2012"	"2012/01"	Suppressed	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2012"	"2012"	"Feb., 2012"	"2012/02"	15	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2012"	"2012"	"Mar., 2012"	"2012/03"	21	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2012"	"2012"	"Apr., 2012"	"2012/04"	11	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2012"	"2012"	"May, 2012"	"2012/05"	17	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2012"	"2012"	"Jun., 2012"	"2012/06"	15	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2012"	"2012"	"Jul., 2012"	"2012/07"	16	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2012"	"2012"	"Aug., 2012"	"2012/08"	21	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2012"	"2012"	"Sep., 2012"	"2012/09"	17	Not Applicable	Not Applicable
