"Notes"	"State"	"State Code"	"Year"	"Year Code"	"Month"	"Month Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"2019"	"2019"	"Jan., 2019"	"2019/01"	24	Not Applicable	Not Applicable
	"Alabama"	"01"	"2019"	"2019"	"Feb., 2019"	"2019/02"	26	Not Applicable	Not Applicable
	"Alabama"	"01"	"2019"	"2019"	"Mar., 2019"	"2019/03"	34	Not Applicable	Not Applicable
	"Alabama"	"01"	"2019"	"2019"	"Apr., 2019"	"2019/04"	31	Not Applicable	Not Applicable
	"Alabama"	"01"	"2019"	"2019"	"May, 2019"	"2019/05"	35	Not Applicable	Not Applicable
	"Alabama"	"01"	"2019"	"2019"	"Jun., 2019"	"2019/06"	38	Not Applicable	Not Applicable
	"Alabama"	"01"	"2019"	"2019"	"Jul., 2019"	"2019/07"	35	Not Applicable	Not Applicable
	"Alabama"	"01"	"2019"	"2019"	"Aug., 2019"	"2019/08"	45	Not Applicable	Not Applicable
	"Alabama"	"01"	"2019"	"2019"	"Sep., 2019"	"2019/09"	24	Not Applicable	Not Applicable
	"Alabama"	"01"	"2019"	"2019"	"Oct., 2019"	"2019/10"	41	Not Applicable	Not Applicable
	"Alabama"	"01"	"2019"	"2019"	"Nov., 2019"	"2019/11"	35	Not Applicable	Not Applicable
	"Alabama"	"01"	"2019"	"2019"	"Dec., 2019"	"2019/12"	37	Not Applicable	Not Applicable
	"Alaska"	"02"	"2019"	"2019"	"Jan., 2019"	"2019/01"	10	Not Applicable	Not Applicable
	"Alaska"	"02"	"2019"	"2019"	"Feb., 2019"	"2019/02"	13	Not Applicable	Not Applicable
	"Alaska"	"02"	"2019"	"2019"	"Mar., 2019"	"2019/03"	11	Not Applicable	Not Applicable
	"Alaska"	"02"	"2019"	"2019"	"Apr., 2019"	"2019/04"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"2019"	"2019"	"May, 2019"	"2019/05"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"2019"	"2019"	"Jun., 2019"	"2019/06"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"2019"	"2019"	"Jul., 2019"	"2019/07"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"2019"	"2019"	"Aug., 2019"	"2019/08"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"2019"	"2019"	"Sep., 2019"	"2019/09"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"2019"	"2019"	"Oct., 2019"	"2019/10"	11	Not Applicable	Not Applicable
	"Alaska"	"02"	"2019"	"2019"	"Nov., 2019"	"2019/11"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"2019"	"2019"	"Dec., 2019"	"2019/12"	Suppressed	Not Applicable	Not Applicable
