"Notes"	"State"	"State Code"	"Year"	"Year Code"	"Month"	"Month Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"2020 "	"2020"	"Jan., 2020 "	"2020/01"	32	Not Applicable	Not Applicable
	"Alabama"	"01"	"2020 "	"2020"	"Feb., 2020 "	"2020/02"	35	Not Applicable	Not Applicable
	"Alabama"	"01"	"2020 "	"2020"	"Mar., 2020 "	"2020/03"	61	Not Applicable	Not Applicable
	"Alabama"	"01"	"2020 "	"2020"	"Apr., 2020 "	"2020/04"	50	Not Applicable	Not Applicable
	"Alabama"	"01"	"2020 "	"2020"	"May, 2020 "	"2020/05"	79	Not Applicable	Not Applicable
	"Alabama"	"01"	"2020 "	"2020"	"Jun., 2020 "	"2020/06"	64	Not Applicable	Not Applicable
	"Alabama"	"01"	"2020 "	"2020"	"Jul., 2020 "	"2020/07"	42	Not Applicable	Not Applicable
	"Alabama"	"01"	"2020 "	"2020"	"Aug., 2020 "	"2020/08"	44	Not Applicable	Not Applicable
	"Alabama"	"01"	"2020 "	"2020"	"Sep., 2020 "	"2020/09"	48	Not Applicable	Not Applicable
	"Alabama"	"01"	"2020 "	"2020"	"Oct., 2020 "	"2020/10"	41	Not Applicable	Not Applicable
	"Alabama"	"01"	"2020 "	"2020"	"Nov., 2020 "	"2020/11"	53	Not Applicable	Not Applicable
	"Alabama"	"01"	"2020 "	"2020"	"Dec., 2020 "	"2020/12"	49	Not Applicable	Not Applicable
	"Alaska"	"02"	"2020 "	"2020"	"Jan., 2020 "	"2020/01"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"2020 "	"2020"	"Feb., 2020 "	"2020/02"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"2020 "	"2020"	"Mar., 2020 "	"2020/03"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"2020 "	"2020"	"Apr., 2020 "	"2020/04"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"2020 "	"2020"	"May, 2020 "	"2020/05"	14	Not Applicable	Not Applicable
	"Alaska"	"02"	"2020 "	"2020"	"Jun., 2020 "	"2020/06"	14	Not Applicable	Not Applicable
	"Alaska"	"02"	"2020 "	"2020"	"Jul., 2020 "	"2020/07"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"2020 "	"2020"	"Aug., 2020 "	"2020/08"	Suppressed	Not Applicable	Not Applicable
